required,,,,,,,,,,,,,,,,,,,,not required
sample,foldername,peak_assignment,hplc_machine,peaks_manual,peaks_autofitting,background_substraction,setting_background_substraction,fitting_boundaries,time_window,concentration,unit,concentration_lactose,unit_lactose,concentration_maltose,unit_maltose,concentration_glucose,unit_glucose,concentration_succinate,unit_succinate,notes
June 2022 10th output001,Stan_N-C-_ethanol_propionate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",1,mM,,,,,,,,,
June 2022 10th output002,Stan_N-C-_ethanol_propionate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",2,mM,,,,,,,,,
June 2022 10th output003,Stan_N-C-_ethanol_propionate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",3,mM,,,,,,,,,
June 2022 10th output004,Stan_N-C-_ethanol_propionate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",4,mM,,,,,,,,,
June 2022 10th output005,Stan_N-C-_ethanol_propionate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",5,mM,,,,,,,,,
10mM,Stan_epsilon_glucose_butyrate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",10,mM,,,,,,,,,
15mM,Stan_epsilon_glucose_butyrate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",15,mM,,,,,,,,,
20mM,Stan_epsilon_glucose_butyrate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",20,mM,,,,,,,,,
5mM,Stan_epsilon_glucose_butyrate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",5,mM,,,,,,,,,
lactate_2mM,Stan_lactate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",2,mM,,,,,,,,,
lactate_4mM,Stan_lactate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",4,mM,,,,,,,,,
lactate_6mM,Stan_lactate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",6,mM,,,,,,,,,
lactate_8mM,Stan_lactate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",8,mM,,,,,,,,,
Sep 15th output012,Stan_Formate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0,mM,,,,,,,,,
Sep 15th output013,Stan_Formate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0,mM,,,,,,,,,
Sep 15th output014,Stan_Formate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0,mM,,,,,,,,,
