"","genus","phylum","class","order","family"
"307","Rhizobium","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae"
"308","Rahnella","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae"
"309","Pseudoclavibacter","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae"
"310","Pseudocitrobacter","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae"
"311","Pseudarthrobacter","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae"
"312","Prochlorococcus","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
"313","Paraburkholderia","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae"
"314","Obesumbacterium","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae"
"315","Novosphingobium","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"316","Microlunatus","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae"
"317","Macrococcus","Bacillota","Bacilli","Bacillales","Staphylococcaceae"
"318","Listeria","Bacillota","Bacilli","Bacillales","Listeriaceae"
"319","Leucobacter","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae"
"320","Jeotgalicoccus","Bacillota","Bacilli","Bacillales","Staphylococcaceae"
"321","Hyphomicrobium","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae"
"322","Herminiimonas","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"323","Glutamicibacter","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae"
"324","Ensifer","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae"
"325","Enhydrobacter","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA
"326","Empedobacter","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae"
"327","Devosia","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae"
"328","Desemzia","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae"
"329","Deinococcus","Deinococcota","Deinococci","Deinococcales","Deinococcaceae"
"330","Cytophaga","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae"
"331","Caulobacter","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"332","Carnobacterium","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae"
"333","Cardiobacterium","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae"
"334","Aureimonas","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae"
"335","Aquincola","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae"
