,sample
845,SAMEA7045684
846,SAMEA7045685
847,SAMEA7045686
848,SAMEA7045687
849,SAMEA7045688
850,SAMEA7045689
851,SAMEA7045690
852,SAMEA7045691
853,SAMEA7045692
854,SAMEA7045693
855,SAMEA7045694
856,SAMEA7045695
857,SAMEA7045696
858,SAMEA7045697
859,SAMEA7045698
860,SAMEA7045699
861,SAMEA7045700
862,SAMEA7045701
863,SAMEA7045702
864,SAMEA7045703
865,SAMEA7045704
866,SAMEA7045705
867,SAMEA7045706
868,SAMEA7045707
869,SAMEA7045708
870,SAMEA7045709
871,SAMEA7045710
872,SAMEA7045711
873,SAMEA7045712
874,SAMEA7045713
875,SAMEA7045714
876,SAMEA7045715
877,SAMEA7045716
878,SAMEA7045717
879,SAMEA7045718
880,SAMEA7045719
881,SAMEA7045720
882,SAMEA7045721
883,SAMEA7045722
884,SAMEA7045723
885,SAMEA7045724
886,SAMEA7045725
887,SAMEA7045726
888,SAMEA7045727
889,SAMEA7045728
890,SAMEA7045729
891,SAMEA7045730
892,SAMEA7045731
893,SAMEA7045732
894,SAMEA7045733
895,SAMEA7045734
896,SAMEA7045735
897,SAMEA7045736
898,SAMEA7045737
899,SAMEA7045738
900,SAMEA7045739
901,SAMEA7045740
902,SAMEA7045741
903,SAMEA7045742
904,SAMEA7045743
905,SAMEA7045744
906,SAMEA7045745
907,SAMEA7045746
908,SAMEA7045747
909,SAMEA7045748
910,SAMEA7045749
911,SAMEA7045750
912,SAMEA7045751
913,SAMEA7045752
914,SAMEA7045753
915,SAMEA7045754
916,SAMEA7045755
917,SAMEA7045756
918,SAMEA7045757
919,SAMEA7045758
920,SAMEA7045759
921,SAMEA7045760
922,SAMEA7045761
923,SAMEA7045762
924,SAMEA7045763
925,SAMEA7045764
926,SAMEA7045765
927,SAMEA7045766
928,SAMEA7045767
929,SAMEA7045768
930,SAMEA7045769
931,SAMEA7045770
932,SAMEA7045771
933,SAMEA7045772
934,SAMEA7045773
935,SAMEA7045774
936,SAMEA7045775
937,SAMEA7045776
938,SAMEA7045777
939,SAMEA7045778
940,SAMEA7045779
941,SAMEA7045780
942,SAMEA7045781
943,SAMEA7045782
944,SAMEA7045783
945,SAMEA7045784
946,SAMEA7045785
947,SAMEA7045786
948,SAMEA7045787
949,SAMEA7045788
950,SAMEA7045789
951,SAMEA7045790
952,SAMEA7045791
953,SAMEA7045792
954,SAMEA7045793
955,SAMEA7045794
956,SAMEA7045795
957,SAMEA7045796
958,SAMEA7045797
959,SAMEA7045798
960,SAMEA7045799
961,SAMEA7045800
962,SAMEA7045801
963,SAMEA7045802
964,SAMEA7045803
965,SAMEA7045804
966,SAMEA7045805
967,SAMEA7045806
968,SAMEA7045807
969,SAMEA7045808
970,SAMEA7045809
971,SAMEA7045810
972,SAMEA7045811
973,SAMEA7045812
974,SAMEA7045813
975,SAMEA7045814
976,SAMEA7045815
977,SAMEA7045816
978,SAMEA7045817
979,SAMEA7045818
980,SAMEA7045819
981,SAMEA7045820
982,SAMEA7045821
983,SAMEA7045822
984,SAMEA7045823
985,SAMEA7045824
986,SAMEA7045825
987,SAMEA7045826
988,SAMEA7045827
989,SAMEA7045828
990,SAMEA7045829
991,SAMEA7045830
992,SAMEA7045831
993,SAMEA7045832
994,SAMEA7045833
995,SAMEA7045834
996,SAMEA7045835
997,SAMEA7045836
998,SAMEA7045837
999,SAMEA7045838
1000,SAMEA7045839
1001,SAMEA7045840
1002,SAMEA7045841
1003,SAMEA7045842
1004,SAMEA7045843
1005,SAMEA7045844
1006,SAMEA7045845
1007,SAMEA7045846
1008,SAMEA7045847
1009,SAMEA7045848
1010,SAMEA7045849
1011,SAMEA7045850
1012,SAMEA7045851
1013,SAMEA7045852
1014,SAMEA7045853
1015,SAMEA7045854
1016,SAMEA7045855
1017,SAMEA7045856
1018,SAMEA7045857
1019,SAMEA7045858
1020,SAMEA7045859
1021,SAMEA7045860
1022,SAMEA7045861
1023,SAMEA7045862
1024,SAMEA7045863
1025,SAMEA7045864
1026,SAMEA7045865
1027,SAMEA7045866
1028,SAMEA7045867
1029,SAMEA7045868
1030,SAMEA7045869
1031,SAMEA7045870
1032,SAMEA7045871
1033,SAMEA7045872
1034,SAMEA7045873
1035,SAMEA7045874
1036,SAMEA7045875
1037,SAMEA7045876
1038,SAMEA7045877
1039,SAMEA7045878
1040,SAMEA7045879
1041,SAMEA7045880
1042,SAMEA7045881
1043,SAMEA7045882
1044,SAMEA7045883
1045,SAMEA7045884
1046,SAMEA7045885
1047,SAMEA7045886
1048,SAMEA7045887
1049,SAMEA7045888
1050,SAMEA7045889
